CDR_DATE,HOURMINUTE,MM,PK,BULK_MO,BULK_MT,DIGITAL_SERVICE,SUBSCRIPTIONBULK_MO,SUBSCRIPTIONBULK_MT
27-02-2024,05:46,266,308,0,0,16,0,0
27-02-2024,05:45,518,498,0,15,43,0,3448
27-02-2024,05:44,501,488,26,64,48,11,10150
27-02-2024,05:43,504,500,47,70,83,10,14258
27-02-2024,05:42,486,470,62,82,107,28,15484
27-02-2024,05:41,488,441,64,81,140,8,16052
27-02-2024,05:40,460,458,66,100,135,24,17995
27-02-2024,05:39,471,470,75,72,126,16,17732
27-02-2024,05:38,483,454,81,71,152,16,17849
27-02-2024,05:37,525,445,71,61,130,16,18917
27-02-2024,05:36,426,476,68,78,135,18,17952
27-02-2024,05:35,494,406,61,80,110,17,17680
27-02-2024,05:34,408,407,59,87,122,22,18017
27-02-2024,05:33,475,447,55,76,135,19,18979
27-02-2024,05:32,423,437,79,69,138,18,18994
27-02-2024,05:31,467,444,62,94,135,10,18685
27-02-2024,05:30,380,458,73,84,144,15,17586
27-02-2024,05:29,390,405,82,73,129,17,17952
27-02-2024,05:28,415,460,59,87,157,19,18752
27-02-2024,05:27,126,127,21,19,46,3,6727
