CDRDATE,SERVICE_KEY,IS_ROAMING,DIAMETER,TOTAL
2023-11-05 00:03,100.0,0.0,2001.0,674.0
2023-11-05 00:03,100.0,1.0,2001.0,1.0
2023-11-05 00:03,100.0,0.0,4010.0,18.0
2023-11-05 00:03,100.0,0.0,4012.0,453.0
2023-11-05 00:03,100.0,0.0,5031.0,151.0
2023-11-05 00:03,100.0,0.0,,30.0
2023-11-05 00:03,133.0,0.0,,1.0
2023-11-05 00:03,150.0,0.0,5030.0,4.0
2023-11-05 00:04,100.0,0.0,2001.0,724.0
2023-11-05 00:04,100.0,1.0,2001.0,1.0
2023-11-05 00:04,100.0,0.0,4010.0,14.0
2023-11-05 00:04,100.0,0.0,4012.0,447.0
2023-11-05 00:04,100.0,0.0,5031.0,136.0
2023-11-05 00:04,100.0,0.0,,38.0
2023-11-05 00:04,150.0,0.0,5030.0,1.0
2023-11-05 00:04,200.0,0.0,2001.0,2.0
2023-11-05 00:04,300.0,1.0,4012.0,1.0
2023-11-05 00:05,100.0,0.0,2001.0,695.0
2023-11-05 00:05,100.0,0.0,4010.0,14.0
2023-11-05 00:05,100.0,0.0,4012.0,398.0
2023-11-05 00:05,100.0,0.0,5031.0,95.0
2023-11-05 00:05,100.0,0.0,,26.0
2023-11-05 00:05,100.0,1.0,,1.0
2023-11-05 00:05,133.0,0.0,,2.0
2023-11-05 00:05,150.0,0.0,5030.0,2.0
2023-11-05 00:05,300.0,1.0,4012.0,2.0
2023-11-05 00:06,100.0,0.0,2001.0,686.0
2023-11-05 00:06,100.0,0.0,4010.0,12.0
2023-11-05 00:06,100.0,0.0,4012.0,383.0
2023-11-05 00:06,100.0,0.0,5031.0,97.0
2023-11-05 00:06,100.0,0.0,,33.0
2023-11-05 00:06,150.0,0.0,5030.0,3.0
2023-11-05 00:06,300.0,1.0,2001.0,1.0
2023-11-05 00:06,300.0,1.0,5031.0,1.0
2023-11-05 00:07,100.0,0.0,2001.0,643.0
2023-11-05 00:07,100.0,0.0,4010.0,14.0
2023-11-05 00:07,100.0,0.0,4012.0,411.0
2023-11-05 00:07,100.0,0.0,5031.0,81.0
2023-11-05 00:07,100.0,0.0,,20.0
2023-11-05 00:07,133.0,0.0,,1.0
2023-11-05 00:07,150.0,0.0,5030.0,3.0
2023-11-05 00:07,300.0,1.0,4012.0,2.0
2023-11-05 00:08,100.0,0.0,2001.0,741.0
2023-11-05 00:08,100.0,0.0,4010.0,14.0
2023-11-05 00:08,100.0,0.0,4012.0,364.0
2023-11-05 00:08,100.0,1.0,4012.0,2.0
2023-11-05 00:08,100.0,0.0,5031.0,72.0
2023-11-05 00:08,100.0,0.0,,22.0
2023-11-05 00:08,133.0,0.0,,3.0
2023-11-05 00:08,150.0,0.0,5030.0,2.0
2023-11-05 00:08,300.0,1.0,4012.0,3.0
2023-11-05 00:09,100.0,0.0,2001.0,638.0
2023-11-05 00:09,100.0,0.0,4010.0,8.0
2023-11-05 00:09,100.0,0.0,4012.0,349.0
2023-11-05 00:09,100.0,0.0,5031.0,56.0
2023-11-05 00:09,100.0,1.0,5031.0,2.0
2023-11-05 00:09,100.0,0.0,,14.0
2023-11-05 00:09,133.0,0.0,,1.0
2023-11-05 00:09,150.0,0.0,5030.0,1.0
2023-11-05 00:10,100.0,0.0,2001.0,663.0
2023-11-05 00:10,100.0,0.0,4010.0,12.0
2023-11-05 00:10,100.0,0.0,4012.0,413.0
2023-11-05 00:10,100.0,1.0,4012.0,1.0
2023-11-05 00:10,100.0,0.0,5031.0,57.0
2023-11-05 00:10,100.0,0.0,,19.0
2023-11-05 00:10,133.0,0.0,,2.0
2023-11-05 00:10,150.0,0.0,5030.0,1.0
2023-11-05 00:10,300.0,1.0,4012.0,4.0
2023-11-05 00:11,100.0,0.0,2001.0,680.0
2023-11-05 00:11,100.0,0.0,4010.0,12.0
2023-11-05 00:11,100.0,0.0,4012.0,365.0
2023-11-05 00:11,100.0,1.0,4012.0,7.0
2023-11-05 00:11,100.0,0.0,5031.0,62.0
2023-11-05 00:11,100.0,0.0,,22.0
2023-11-05 00:11,133.0,0.0,,2.0
2023-11-05 00:11,150.0,0.0,5030.0,1.0
2023-11-05 00:12,100.0,0.0,2001.0,696.0
2023-11-05 00:12,100.0,0.0,4010.0,11.0
2023-11-05 00:12,100.0,0.0,4012.0,352.0
2023-11-05 00:12,100.0,1.0,4012.0,1.0
2023-11-05 00:12,100.0,0.0,5031.0,50.0
2023-11-05 00:12,100.0,0.0,,20.0
2023-11-05 00:12,150.0,0.0,5030.0,1.0
2023-11-05 00:12,300.0,1.0,2001.0,2.0
2023-11-05 00:13,100.0,0.0,2001.0,673.0
2023-11-05 00:13,100.0,0.0,4010.0,8.0
2023-11-05 00:13,100.0,0.0,4012.0,323.0
2023-11-05 00:13,100.0,0.0,5031.0,38.0
2023-11-05 00:13,100.0,1.0,5031.0,1.0
2023-11-05 00:13,100.0,0.0,,17.0
2023-11-05 00:13,150.0,0.0,5030.0,2.0
2023-11-05 00:14,100.0,0.0,2001.0,600.0
2023-11-05 00:14,100.0,0.0,4010.0,10.0
2023-11-05 00:14,100.0,0.0,4012.0,299.0
2023-11-05 00:14,100.0,0.0,5031.0,48.0
2023-11-05 00:14,100.0,0.0,,15.0
2023-11-05 00:14,100.0,1.0,,1.0
2023-11-05 00:14,300.0,0.0,5004.0,6.0
2023-11-05 00:15,100.0,0.0,2001.0,659.0
2023-11-05 00:15,100.0,1.0,2001.0,1.0
2023-11-05 00:15,100.0,0.0,4010.0,12.0
2023-11-05 00:15,100.0,0.0,4012.0,335.0
2023-11-05 00:15,100.0,1.0,4012.0,2.0
2023-11-05 00:15,100.0,0.0,5031.0,32.0
2023-11-05 00:15,100.0,0.0,,13.0
2023-11-05 00:15,133.0,0.0,,1.0
2023-11-05 00:15,300.0,1.0,2001.0,1.0
2023-11-05 00:15,300.0,1.0,4012.0,1.0
2023-11-05 00:15,300.0,0.0,5004.0,1.0
2023-11-05 00:16,100.0,0.0,2001.0,673.0
2023-11-05 00:16,100.0,0.0,4010.0,13.0
2023-11-05 00:16,100.0,0.0,4012.0,357.0
2023-11-05 00:16,100.0,1.0,4012.0,3.0
2023-11-05 00:16,100.0,0.0,5031.0,42.0
2023-11-05 00:16,100.0,0.0,,13.0
2023-11-05 00:16,300.0,1.0,4012.0,3.0
2023-11-05 00:17,100.0,0.0,2001.0,661.0
2023-11-05 00:17,100.0,1.0,2001.0,1.0
2023-11-05 00:17,100.0,0.0,4010.0,7.0
2023-11-05 00:17,100.0,0.0,4012.0,316.0
2023-11-05 00:17,100.0,0.0,5031.0,41.0
2023-11-05 00:17,100.0,0.0,,20.0
2023-11-05 00:17,133.0,0.0,,2.0
2023-11-05 00:17,150.0,0.0,5030.0,1.0
2023-11-05 00:17,300.0,0.0,5004.0,1.0
2023-11-05 00:18,100.0,0.0,2001.0,692.0
2023-11-05 00:18,100.0,0.0,4010.0,8.0
2023-11-05 00:18,100.0,0.0,4012.0,313.0
2023-11-05 00:18,100.0,0.0,5031.0,31.0
2023-11-05 00:18,100.0,0.0,,11.0
2023-11-05 00:18,150.0,0.0,5030.0,1.0
2023-11-05 00:18,300.0,0.0,5004.0,3.0
2023-11-05 00:19,100.0,0.0,2001.0,523.0
2023-11-05 00:19,100.0,0.0,4010.0,3.0
2023-11-05 00:19,100.0,0.0,4012.0,256.0
2023-11-05 00:19,100.0,0.0,5031.0,27.0
2023-11-05 00:19,100.0,0.0,,19.0
2023-11-05 00:19,133.0,0.0,,1.0
2023-11-05 00:19,150.0,0.0,5030.0,1.0
2023-11-05 00:19,300.0,0.0,5004.0,1.0
2023-11-05 00:20,100.0,0.0,2001.0,657.0
2023-11-05 00:20,100.0,0.0,4010.0,12.0
2023-11-05 00:20,100.0,0.0,4012.0,311.0
2023-11-05 00:20,100.0,0.0,5031.0,29.0
2023-11-05 00:20,100.0,0.0,,19.0
2023-11-05 00:20,133.0,0.0,,2.0
2023-11-05 00:20,300.0,1.0,4012.0,3.0
2023-11-05 00:21,100.0,0.0,2001.0,662.0
2023-11-05 00:21,100.0,0.0,4010.0,15.0
2023-11-05 00:21,100.0,0.0,4012.0,319.0
2023-11-05 00:21,100.0,0.0,5031.0,49.0
2023-11-05 00:21,100.0,0.0,,22.0
2023-11-05 00:21,133.0,0.0,,1.0
2023-11-05 00:21,150.0,0.0,5030.0,1.0
2023-11-05 00:22,100.0,0.0,2001.0,673.0
2023-11-05 00:22,100.0,0.0,4010.0,12.0
2023-11-05 00:22,100.0,0.0,4012.0,259.0
