CDRDATE,CP_NAME,CPID,ACCESSFLAG,BASICCAUSE,INTERNALCAUSE,REVENUE,TOTAL
2023-11-02 06:32,MitraComm Ekasarana,100.0,67.0,111.0,4012.0,0.0,69.0
2023-11-02 06:32,MitraComm Ekasarana,100.0,67.0,940.0,4010.0,0.0,1.0
2023-11-02 06:32,MitraComm Ekasarana,100.0,67.0,940.0,5030.0,0.0,11.0
2023-11-02 06:32,MitraComm Ekasarana,100.0,67.0,941.0,2001.0,11200.0,14.0
2023-11-02 06:32,SPRINT_Strata Prima Internusa,107.0,66.0,938.0,2001.0,3500.0,7.0
2023-11-02 06:32,SPRINT_Strata Prima Internusa,107.0,66.0,940.0,4012.0,0.0,12.0
2023-11-02 06:32,SPRINT_Strata Prima Internusa,107.0,67.0,111.0,4012.0,0.0,7.0
2023-11-02 06:32,SPRINT_Strata Prima Internusa,107.0,67.0,941.0,2001.0,9400.0,13.0
2023-11-02 06:32,Infinetworks CIMB Niaga,137.0,66.0,940.0,4012.0,0.0,1.0
2023-11-02 06:32,Infinetworks CIMB Niaga,137.0,67.0,111.0,4012.0,0.0,1.0
2023-11-02 06:32,Infinetworks CIMB Niaga,137.0,67.0,941.0,2001.0,2200.0,3.0
2023-11-02 06:32,Global Media Solusi,153.0,72.0,123.0,2001.0,0.0,4.0
2023-11-02 06:32,Emobile,156.0,67.0,111.0,4012.0,0.0,2.0
2023-11-02 06:32,Emobile,156.0,67.0,941.0,2001.0,2600.0,4.0
2023-11-02 06:32,Integrasi Tunas Muda,163.0,73.0,111.0,4012.0,0.0,158.0
2023-11-02 06:32,Integrasi Tunas Muda,163.0,73.0,941.0,2001.0,3964.0,4.0
2023-11-02 06:32,Era Digital Media,164.0,73.0,111.0,4012.0,0.0,2663.0
2023-11-02 06:32,Era Digital Media,164.0,73.0,23.0,,3964.0,4.0
2023-11-02 06:32,Era Digital Media,164.0,73.0,6.0,,20811.0,21.0
2023-11-02 06:32,Era Digital Media,164.0,73.0,940.0,5031.0,0.0,8.0
2023-11-02 06:32,Era Digital Media,164.0,73.0,941.0,2001.0,32703.0,33.0
2023-11-02 06:32,Era Digital Media,164.0,73.0,973.0,,575771.0,581.0
2023-11-02 06:32,Yatta Eracipta Solusi,166.0,73.0,111.0,4012.0,0.0,356.0
2023-11-02 06:32,Yatta Eracipta Solusi,166.0,73.0,23.0,,7928.0,4.0
2023-11-02 06:32,Yatta Eracipta Solusi,166.0,73.0,6.0,,5946.0,3.0
2023-11-02 06:32,Yatta Eracipta Solusi,166.0,73.0,941.0,2001.0,1982.0,1.0
2023-11-02 06:32,Forest Indo Niaga,171.0,73.0,111.0,4012.0,0.0,122.0
2023-11-02 06:32,Forest Indo Niaga,171.0,73.0,23.0,,3964.0,2.0
2023-11-02 06:32,Forest Indo Niaga,171.0,73.0,941.0,2001.0,3964.0,2.0
2023-11-02 06:32,Sinergi Bestama Indonesia,187.0,73.0,111.0,4012.0,0.0,247.0
2023-11-02 06:32,Sinergi Bestama Indonesia,187.0,73.0,23.0,,10901.0,11.0
2023-11-02 06:32,Sinergi Bestama Indonesia,187.0,73.0,941.0,2001.0,40631.0,41.0
2023-11-02 06:32,VIU,198.0,67.0,941.0,2001.0,0.0,11.0
2023-11-02 06:32,LinkIT_360,206.0,73.0,111.0,4012.0,0.0,1301.0
2023-11-02 06:32,LinkIT_360,206.0,73.0,23.0,,17838.0,9.0
2023-11-02 06:32,LinkIT_360,206.0,73.0,940.0,5031.0,0.0,7.0
2023-11-02 06:32,LinkIT_360,206.0,73.0,941.0,2001.0,3964.0,2.0
2023-11-02 06:32,LinkIT_360,206.0,73.0,973.0,,1982.0,1.0
2023-11-02 06:32,GMS AG (bulk),239.0,66.0,938.0,2001.0,0.0,84.0
2023-11-02 06:32,GMS AG (bulk),239.0,66.0,940.0,5030.0,0.0,2.0
2023-11-02 06:32,GMS AG (bulk),239.0,66.0,940.0,5031.0,0.0,1.0
2023-11-02 06:32,Monty Mobile (bulk),240.0,66.0,938.0,2001.0,0.0,3.0
2023-11-02 06:32,BPJS,242.0,67.0,111.0,4012.0,0.0,1.0
2023-11-02 06:32,BPJS,242.0,67.0,941.0,2001.0,2082.0,6.0
2023-11-02 06:32,PT. Gloria Viva Nusantara,250.0,66.0,601.0,,0.0,1.0
2023-11-02 06:32,PT. Gloria Viva Nusantara,250.0,72.0,123.0,2001.0,0.0,4.0
2023-11-02 06:32,PT. Gloria Viva Nusantara,250.0,73.0,111.0,4012.0,0.0,2.0
2023-11-02 06:32,PT. Gloria Viva Nusantara,250.0,73.0,23.0,,3629363.0,2500.0
2023-11-02 06:32,PT. Gloria Viva Nusantara,250.0,73.0,6.0,,2972.0,4.0
2023-11-02 06:32,PT. Gloria Viva Nusantara,250.0,73.0,940.0,4010.0,0.0,1.0
2023-11-02 06:32,SahabatMudaKreatif,252.0,73.0,111.0,4012.0,0.0,995.0
2023-11-02 06:32,SahabatMudaKreatif,252.0,73.0,940.0,5031.0,0.0,1.0
2023-11-02 06:32,PT. Aman Devloop Indonesia,257.0,73.0,111.0,4012.0,0.0,572.0
2023-11-02 06:32,PT. Aman Devloop Indonesia,257.0,73.0,6.0,,7928.0,4.0
