CDR_DATE,CDR_HOUR,INSTANCE_ID,DIAMETER_RESULT_CODES,SERVICE_KEY,CALL_TYPE,IS_ROAMING,IS_CHARGING_OVERRULED,ISBFT,TOTAL,remark
14-12-2023,13:58,MM,2001,100,1,0,0,0,414,day0
14-12-2023,13:58,MM,2001,100,3,0,0,0,19,day0
14-12-2023,13:58,MM,2001,200,1,0,0,0,11,day0
14-12-2023,13:58,MM,2001,300,2,1,0,0,1,day0
14-12-2023,13:58,MM,4010,100,1,0,0,0,1,day0
14-12-2023,13:58,MM,4012,100,1,0,0,0,183,day0
14-12-2023,13:58,MM,4012,100,3,0,0,0,18,day0
14-12-2023,13:58,MM,4012,300,2,1,0,0,7,day0
14-12-2023,13:58,MM,5004,300,2,0,0,0,13,day0
14-12-2023,13:58,MM,5030,150,1,0,0,0,1,day0
14-12-2023,13:58,MM,5031,100,1,0,0,0,26,day0
14-12-2023,13:58,MM,5031,100,3,0,0,0,3,day0
14-12-2023,13:58,MM,,100,1,0,0,0,13,day0
14-12-2023,13:58,PK,2001,100,1,0,0,0,1297,day0
14-12-2023,13:58,PK,2001,100,3,0,0,0,56,day0
14-12-2023,13:58,PK,2001,200,1,0,0,0,28,day0
14-12-2023,13:58,PK,4010,100,1,0,0,0,2,day0
14-12-2023,13:58,PK,4012,100,1,0,0,0,531,day0
14-12-2023,13:58,PK,4012,100,3,0,0,0,35,day0
14-12-2023,13:58,PK,4012,300,2,1,0,0,24,day0
14-12-2023,13:58,PK,5004,300,2,0,0,0,40,day0
14-12-2023,13:58,PK,5030,150,1,0,0,0,1,day0
14-12-2023,13:58,PK,5031,100,1,0,0,0,50,day0
14-12-2023,13:58,PK,5031,100,3,0,0,0,3,day0
14-12-2023,13:58,PK,5031,200,1,0,0,0,1,day0
14-12-2023,13:58,PK,5031,300,2,1,0,0,4,day0
14-12-2023,13:58,PK,,100,1,0,0,0,36,day0
14-12-2023,13:59,MM,2001,100,1,0,0,0,401,day0
14-12-2023,13:59,MM,2001,100,3,0,0,0,34,day0
14-12-2023,13:59,MM,2001,200,1,0,0,0,13,day0
14-12-2023,13:59,MM,2001,200,3,0,0,0,1,day0
14-12-2023,13:59,MM,2001,300,2,1,0,0,1,day0
14-12-2023,13:59,MM,4010,100,1,0,0,0,1,day0
14-12-2023,13:59,MM,4012,100,1,0,0,0,163,day0
14-12-2023,13:59,MM,4012,100,1,1,0,0,2,day0
14-12-2023,13:59,MM,4012,100,3,0,0,0,18,day0
14-12-2023,13:59,MM,4012,300,2,1,0,0,13,day0
14-12-2023,13:59,MM,5004,300,2,0,0,0,4,day0
14-12-2023,13:59,MM,5031,100,1,0,0,0,15,day0
14-12-2023,13:59,MM,5031,100,3,0,0,0,1,day0
14-12-2023,13:59,MM,5031,300,2,1,0,0,1,day0
14-12-2023,13:59,MM,,100,1,0,0,0,13,day0
14-12-2023,13:59,PK,2001,100,1,0,0,0,1283,day0
14-12-2023,13:59,PK,2001,100,3,0,0,0,73,day0
14-12-2023,13:59,PK,2001,200,1,0,0,0,30,day0
14-12-2023,13:59,PK,2001,300,2,1,0,0,1,day0
14-12-2023,13:59,PK,4010,100,1,0,0,0,3,day0
14-12-2023,13:59,PK,4012,100,1,0,0,0,546,day0
14-12-2023,13:59,PK,4012,100,3,0,0,0,47,day0
14-12-2023,13:59,PK,4012,300,2,1,0,0,21,day0
14-12-2023,13:59,PK,5004,300,2,0,0,0,14,day0
14-12-2023,13:59,PK,5031,100,1,0,0,0,50,day0
14-12-2023,13:59,PK,5031,100,3,0,0,0,2,day0
14-12-2023,13:59,PK,,100,1,0,0,0,31,day0
14-12-2023,14:00,MM,2001,100,1,0,0,0,400,day0
14-12-2023,14:00,MM,2001,100,3,0,0,0,21,day0
14-12-2023,14:00,MM,2001,200,1,0,0,0,15,day0
14-12-2023,14:00,MM,4012,100,1,0,0,0,215,day0
14-12-2023,14:00,MM,4012,100,3,0,0,0,16,day0
14-12-2023,14:00,MM,4012,300,2,1,0,0,10,day0
14-12-2023,14:00,MM,5004,300,2,0,0,0,6,day0
14-12-2023,14:00,MM,5030,150,1,0,0,0,1,day0
14-12-2023,14:00,MM,5031,100,1,0,0,0,19,day0
14-12-2023,14:00,MM,5031,100,3,0,0,0,1,day0
14-12-2023,14:00,MM,,100,1,0,0,0,10,day0
14-12-2023,14:00,PK,2001,100,1,0,0,0,1278,day0
14-12-2023,14:00,PK,2001,100,3,0,0,0,96,day0
14-12-2023,14:00,PK,2001,200,1,0,0,0,35,day0
14-12-2023,14:00,PK,4010,100,1,0,0,0,2,day0
14-12-2023,14:00,PK,4010,100,3,0,0,0,1,day0
14-12-2023,14:00,PK,4012,100,1,0,0,0,529,day0
14-12-2023,14:00,PK,4012,100,3,0,0,0,56,day0
14-12-2023,14:00,PK,4012,300,2,1,0,0,18,day0
14-12-2023,14:00,PK,5004,300,2,0,0,0,24,day0
14-12-2023,14:00,PK,5030,150,1,0,0,0,3,day0
