CDRDATE,SERVICE_KEY,IS_ROAMING,DIAMETER,TOTAL,REMARK
25-10-2023 00,100,1,2001.0,3,day0
25-10-2023 00,100,0,2001.0,6020,day0
25-10-2023 00,100,0,2001.0,17865,day0
25-10-2023 00,100,1,2001.0,1,day0
25-10-2023 00,100,1,4010.0,1,day0
25-10-2023 00,100,0,4010.0,84,day0
25-10-2023 00,100,0,4010.0,35,day0
25-10-2023 00,100,0,4012.0,3065,day0
25-10-2023 00,100,0,4012.0,9281,day0
25-10-2023 00,100,1,4012.0,30,day0
25-10-2023 00,100,1,4012.0,24,day0
25-10-2023 00,100,1,5031.0,11,day0
25-10-2023 00,100,1,5031.0,17,day0
25-10-2023 00,100,0,5031.0,2444,day0
25-10-2023 00,100,0,5031.0,813,day0
25-10-2023 00,100,0,,666,day0
25-10-2023 00,100,0,,226,day0
25-10-2023 00,100,1,,1,day0
25-10-2023 00,133,0,,46,day0
25-10-2023 00,150,0,4010.0,3,day0
25-10-2023 00,150,0,5030.0,18,day0
25-10-2023 00,150,0,5030.0,6,day0
25-10-2023 00,150,0,5031.0,1,day0
25-10-2023 00,150,0,,2,day0
25-10-2023 00,200,0,2001.0,15,day0
25-10-2023 00,200,0,2001.0,4,day0
25-10-2023 00,200,0,4012.0,1,day0
25-10-2023 00,200,0,5031.0,1,day0
25-10-2023 00,300,1,2001.0,10,day0
25-10-2023 00,300,1,2001.0,5,day0
25-10-2023 00,300,1,4012.0,130,day0
25-10-2023 00,300,1,4012.0,97,day0
25-10-2023 00,300,0,5004.0,10,day0
25-10-2023 00,300,0,5004.0,12,day0
25-10-2023 01,100,1,2001.0,2,day0
25-10-2023 01,100,0,2001.0,11064,day0
25-10-2023 01,100,1,2001.0,1,day0
25-10-2023 01,100,0,2001.0,3770,day0
25-10-2023 01,100,0,4010.0,74,day0
25-10-2023 01,100,0,4010.0,22,day0
25-10-2023 01,100,0,4012.0,1870,day0
25-10-2023 01,100,1,4012.0,11,day0
25-10-2023 01,100,0,4012.0,5606,day0
25-10-2023 01,100,1,4012.0,15,day0
25-10-2023 01,100,0,5005.0,3,day0
25-10-2023 01,100,0,5005.0,1,day0
25-10-2023 01,100,1,5031.0,3,day0
25-10-2023 01,100,0,5031.0,260,day0
25-10-2023 01,100,1,5031.0,4,day0
25-10-2023 01,100,0,5031.0,782,day0
25-10-2023 01,100,0,,144,day0
25-10-2023 01,100,0,,436,day0
25-10-2023 01,100,1,,1,day0
25-10-2023 01,133,0,,23,day0
25-10-2023 01,150,0,5030.0,10,day0
25-10-2023 01,150,0,5030.0,4,day0
25-10-2023 01,200,0,2001.0,4,day0
25-10-2023 01,200,0,2001.0,17,day0
25-10-2023 01,200,0,4012.0,3,day0
25-10-2023 01,200,0,4012.0,4,day0
25-10-2023 01,200,0,5031.0,5,day0
25-10-2023 01,300,1,2001.0,2,day0
25-10-2023 01,300,1,2001.0,6,day0
25-10-2023 01,300,1,4012.0,71,day0
25-10-2023 01,300,1,4012.0,53,day0
25-10-2023 01,300,0,5004.0,4,day0
25-10-2023 01,300,0,5004.0,13,day0
25-10-2023 02,100,1,2001.0,2,day0
25-10-2023 02,100,0,2001.0,7743,day0
25-10-2023 02,100,0,2001.0,2571,day0
25-10-2023 02,100,0,4010.0,36,day0
25-10-2023 02,100,0,4010.0,15,day0
25-10-2023 02,100,1,4012.0,18,day0
25-10-2023 02,100,0,4012.0,3959,day0
25-10-2023 02,100,1,4012.0,11,day0
25-10-2023 02,100,0,4012.0,1303,day0
25-10-2023 02,100,0,5031.0,129,day0
25-10-2023 02,100,1,5031.0,5,day0
25-10-2023 02,100,0,5031.0,385,day0
25-10-2023 02,100,1,5031.0,1,day0
25-10-2023 02,100,0,,131,day0
25-10-2023 02,100,0,,352,day0
25-10-2023 02,133,0,,23,day0
25-10-2023 02,150,0,4010.0,1,day0
25-10-2023 02,150,0,4010.0,3,day0
25-10-2023 02,150,0,5030.0,3,day0
25-10-2023 02,150,0,5030.0,12,day0
25-10-2023 02,200,0,2001.0,4,day0
25-10-2023 02,200,0,2001.0,19,day0
25-10-2023 02,200,0,4012.0,15,day0
25-10-2023 02,200,0,4012.0,1,day0
25-10-2023 02,200,0,5031.0,13,day0
25-10-2023 02,200,0,5031.0,3,day0
25-10-2023 02,300,1,2001.0,1,day0
