CDRDATE,SERVICE_KEY,IS_ROAMING,ISBFT,DIAMETER,TOTAL,REMARK
2023-11-06 00,100,0,0,2001,24577,day0
2023-11-06 00,100,1,0,2001,5,day0
2023-11-06 00,100,0,0,4010,573,day0
2023-11-06 00,100,0,0,4012,13470,day0
2023-11-06 00,100,1,0,4012,22,day0
2023-11-06 00,100,0,0,5031,3229,day0
2023-11-06 00,100,1,0,5031,10,day0
2023-11-06 00,100,0,0,,827,day0
2023-11-06 00,100,1,0,,1,day0
2023-11-06 00,133,0,0,,37,day0
2023-11-06 00,150,0,0,4010,8,day0
2023-11-06 00,150,0,0,5030,40,day0
2023-11-06 00,150,1,0,5030,1,day0
2023-11-06 00,150,0,0,5031,5,day0
2023-11-06 00,150,0,0,,4,day0
2023-11-06 00,200,0,0,2001,18,day0
2023-11-06 00,200,0,0,5031,2,day0
2023-11-06 00,300,1,0,2001,12,day0
2023-11-06 00,300,1,0,4012,117,day0
2023-11-06 00,300,0,0,5004,353,day0
2023-11-06 01,100,0,0,2001,15517,day0
2023-11-06 01,100,1,0,2001,8,day0
2023-11-06 01,100,0,0,4010,515,day0
2023-11-06 01,100,0,0,4012,8365,day0
2023-11-06 01,100,1,0,4012,50,day0
2023-11-06 01,100,0,0,5031,1248,day0
2023-11-06 01,100,1,0,5031,1,day0
2023-11-06 01,100,0,0,,514,day0
2023-11-06 01,100,1,0,,1,day0
2023-11-06 01,133,0,0,,25,day0
2023-11-06 01,150,0,0,4010,13,day0
2023-11-06 01,150,0,0,5030,22,day0
2023-11-06 01,150,0,0,5031,3,day0
2023-11-06 01,150,0,0,,1,day0
2023-11-06 01,200,0,0,2001,25,day0
2023-11-06 01,200,0,0,5031,3,day0
2023-11-06 01,300,1,0,2001,3,day0
2023-11-06 01,300,1,0,4012,325,day0
2023-11-06 01,300,0,0,5004,7,day0
2023-11-06 02,100,0,0,2001,10905,day0
2023-11-06 02,100,1,0,2001,2,day0
2023-11-06 02,100,0,0,4010,383,day0
2023-11-06 02,100,0,0,4012,5435,day0
2023-11-06 02,100,1,0,4012,16,day0
2023-11-06 02,100,0,0,5031,689,day0
2023-11-06 02,100,1,0,5031,1,day0
2023-11-06 02,100,0,0,,385,day0
2023-11-06 02,133,0,0,,18,day0
2023-11-06 02,150,0,0,4010,1,day0
2023-11-06 02,150,0,0,5030,9,day0
2023-11-06 02,150,1,0,5030,1,day0
2023-11-06 02,150,0,0,5031,1,day0
2023-11-06 02,150,0,0,,1,day0
2023-11-06 02,150,1,0,,1,day0
2023-11-06 02,200,0,0,2001,34,day0
2023-11-06 02,200,0,0,5031,4,day0
2023-11-06 02,300,1,0,2001,6,day0
2023-11-06 02,300,1,0,4012,62,day0
2023-11-06 02,300,0,0,5004,22,day0
2023-11-06 02,300,1,0,5031,1,day0
2023-11-06 03,100,0,0,2001,10311,day0
2023-11-06 03,100,0,0,4010,395,day0
2023-11-06 03,100,0,0,4012,5428,day0
2023-11-06 03,100,1,0,4012,13,day0
2023-11-06 03,100,0,0,5031,575,day0
2023-11-06 03,100,1,0,5031,3,day0
2023-11-06 03,100,0,0,,375,day0
2023-11-06 03,100,1,0,,1,day0
2023-11-06 03,133,0,0,,16,day0
2023-11-06 03,150,0,0,4010,2,day0
2023-11-06 03,150,0,0,5030,6,day0
2023-11-06 03,150,0,0,5031,1,day0
2023-11-06 03,150,0,0,,2,day0
2023-11-06 03,200,0,0,2001,42,day0
2023-11-06 03,300,1,0,2001,2,day0
2023-11-06 03,300,1,0,4012,115,day0
2023-11-06 03,300,0,0,5004,13,day0
2023-11-06 04,100,0,0,2001,19170,day0
2023-11-06 04,100,1,0,2001,5,day0
2023-11-06 04,100,0,0,4010,440,day0
2023-11-06 04,100,0,0,4012,8189,day0
2023-11-06 04,100,1,0,4012,5,day0
2023-11-06 04,100,0,0,5031,792,day0
2023-11-06 04,100,1,0,5031,4,day0
2023-11-06 04,100,0,0,,561,day0
2023-11-06 04,100,1,0,,9,day0
2023-11-06 04,133,0,0,,29,day0
2023-11-06 04,150,0,0,5030,22,day0
2023-11-06 04,150,0,0,,4,day0
2023-11-06 04,200,0,0,2001,45,day0
2023-11-06 04,300,1,0,2001,3,day0
2023-11-06 04,300,1,0,4012,72,day0
2023-11-06 04,300,0,0,5004,20,day0
2023-11-06 05,100,0,0,2001,39454,day0
2023-11-06 05,100,1,0,2001,3,day0
2023-11-06 05,100,0,0,4010,613,day0
2023-11-06 05,100,0,0,4012,16659,day0
2023-11-06 05,100,1,0,4012,12,day0
