CDR_HOUR,ATT_0,ATT_1,ATT_7,SUC_0,SUC_1,SUC_7,ROAMATT_0,ROAMATT_1,ROAMATT_7,ROAMSUC_0,ROAMSUC,ROAMSUC_7,NONROATT_0,NONROATT_1,NONROATT_7,NONROSUC_0,NONROSUC_1,NONROSUC_7,MOCATT_0,MOCATT_1,MOCATT_7,MOCSUC_0,MOCSUC_1,MOCSUC_7,MTCATT_0,MTCATT_1,MTCATT_7,MTCSUC_0,MTCSUC_1,MTCSUC_7,MFCATT_0,MFCATT_1,MFCATT_7,MFCSUC_0,MFCSUC_1,MFCSUC_7,100ATT_0,100ATT_1,100ATT_7,100SUC_0,100SUC_1,100SUC_7,150ATT_0,150ATT_1,150ATT_7,150SUC_0,150SUC_1,150SUC_7,200ATT_0,200ATT_1,200ATT_7,200SUC_0,200SUC_1,200SUC_7,300ATT_0,300ATT_1,300ATT_7,300SUC_0,300SUC_1,300SUC_7,MMATT_0,MMATT_1,MMATT_7,MMSUC_0,MMSUC_1,MMSUC_7,PKATT_0,PKATT_1,PKATT_7,PKSUC_0,PKSUC_1,PKSUC_7
19:21,3322,3098,3448,3233,3012,3333,14,17,24,12,17,24,3308,3081,3424,3221,2995,3309,3220,3002,3219,3135,2941,3143,13,31,62,9,6,23,89,65,167,89,65,167,3301,3064,3379,3216,3003,3303,5.0,2.0,3.0,5.0,2.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,13,31,62,9,6,23,876,778,887,853,754,860,2446,2320,2561,2380,2258,2473
19:22,3227,3141,3399,3140,3072,3270,17,11,33,17,11,31,3210,3130,3366,3123,3061,3239,3150,3075,3135,3066,3013,3070,20,13,94,17,6,30,57,53,170,57,53,170,3204,3117,3296,3120,3056,3231,1.0,6.0,3.0,1.0,5.0,3.0,2.0,5.0,6.0,2.0,5.0,6.0,20,13,94,17,6,30,789,786,869,770,764,825,2438,2355,2530,2370,2308,2445
19:23,3247,3175,3310,3188,3083,3204,22,31,20,22,31,20,3225,3144,3290,3166,3052,3184,3173,3068,3126,3117,3003,3064,23,56,63,20,29,19,51,51,121,51,51,121,3218,3114,3241,3163,3049,3180,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,23,56,64,20,29,20,832,806,845,822,780,812,2415,2369,2465,2366,2303,2392
19:24,2191,3034,3342,2126,2946,3233,12,14,43,12,14,43,2179,3020,3299,2114,2932,3190,2142,2964,3099,2081,2887,3038,15,22,87,11,11,39,34,48,156,34,48,156,2171,3002,3248,2111,2925,3187,3.0,7.0,3.0,2.0,7.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,15,22,87,11,11,39,715,768,886,694,749,846,1476,2266,2456,1432,2197,2387
19:25,3246,3062,3259,3154,2980,3150,15,29,38,14,29,37,3231,3033,3221,3140,2951,3113,3163,2977,3071,3084,2909,2993,25,33,67,12,19,36,58,52,121,58,52,121,3217,3021,3188,3138,2953,3110,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,6.0,2.0,25,33,67,12,19,36,837,764,819,816,743,793,2409,2298,2440,2338,2237,2357
19:26,3260,3012,3271,3170,2936,3155,12,17,26,12,17,26,3248,2995,3245,3158,2919,3129,3169,2941,3075,3092,2871,3001,23,20,68,10,14,26,68,51,128,68,51,128,3229,2987,3192,3152,2918,3119,6.0,2.0,6.0,6.0,1.0,5.0,2.0,3.0,5.0,2.0,3.0,5.0,23,20,68,10,14,26,818,776,840,795,749,810,2442,2236,2431,2375,2187,2345
19:27,3118,3160,3289,3028,3016,3203,16,7,29,16,7,29,3102,3153,3260,3012,3009,3174,3037,3024,3156,2952,2944,3085,20,70,42,15,6,27,61,66,91,61,66,91,3089,3081,3242,3004,3002,3171,4.0,3.0,0.0,4.0,2.0,0.0,5.0,6.0,5.0,5.0,6.0,5.0,20,70,42,15,6,27,761,800,814,745,754,793,2357,2360,2475,2283,2262,2410
19:28,3149,3081,3329,3070,3002,3238,6,4,31,6,4,31,3143,3077,3298,3064,2998,3207,3080,3023,3169,3012,2955,3105,17,15,57,6,4,30,52,43,103,52,43,103,3126,3060,3258,3059,2992,3194,3.0,4.0,8.0,2.0,4.0,8.0,3.0,2.0,6.0,3.0,2.0,6.0,17,15,57,6,4,30,790,762,805,766,739,784,2359,2319,2524,2304,2263,2454
19:29,3171,3054,3461,3102,2971,3344,8,8,66,8,8,66,3163,3046,3395,3094,2963,3278,3102,2978,3258,3041,2908,3168,14,20,90,7,8,63,55,56,113,54,55,113,3145,3028,3365,3084,2958,3275,5.0,1.0,4.0,5.0,1.0,4.0,6.0,4.0,2.0,6.0,4.0,2.0,15,21,90,7,8,63,801,745,876,781,728,847,2370,2309,2585,2321,2243,2497
19:30,3229,3156,3281,3143,3087,3190,9,14,16,9,13,16,3220,3142,3265,3134,3074,3174,3144,3071,3145,3064,3005,3073,15,16,32,9,13,13,70,69,104,70,69,104,3203,3133,3242,3124,3067,3170,4.0,3.0,4.0,3.0,3.0,4.0,7.0,4.0,3.0,7.0,4.0,3.0,15,16,32,9,13,13,823,784,813,796,766,789,2406,2372,2468,2347,2321,2401
