CDRDATE,SERVICE_KEY,IS_ROAMING,DIAMETER,TOTAL
24-10-2023 10:52,100,0,2001.0,1402
24-10-2023 10:52,100,0,2001.0,465
24-10-2023 10:52,100,0,4010.0,2
24-10-2023 10:52,100,0,4010.0,9
24-10-2023 10:52,100,0,4012.0,604
24-10-2023 10:52,100,1,4012.0,1
24-10-2023 10:52,100,0,4012.0,211
24-10-2023 10:52,100,0,5031.0,11
24-10-2023 10:52,100,0,5031.0,32
24-10-2023 10:52,100,0,,28
24-10-2023 10:52,100,0,,19
24-10-2023 10:52,133,0,,1
24-10-2023 10:52,150,0,5030.0,2
24-10-2023 10:52,150,0,5030.0,1
24-10-2023 10:52,200,0,2001.0,33
24-10-2023 10:52,200,0,2001.0,7
24-10-2023 10:52,300,1,2001.0,3
24-10-2023 10:52,300,1,4012.0,33
24-10-2023 10:52,300,1,4012.0,41
24-10-2023 10:52,300,0,5004.0,7
24-10-2023 10:52,300,0,5004.0,19
24-10-2023 10:53,100,0,2001.0,1356
24-10-2023 10:53,100,1,2001.0,1
24-10-2023 10:53,100,0,2001.0,466
24-10-2023 10:53,100,0,4010.0,5
24-10-2023 10:53,100,0,4010.0,4
24-10-2023 10:53,100,0,4012.0,588
24-10-2023 10:53,100,0,4012.0,196
24-10-2023 10:53,100,0,5031.0,31
24-10-2023 10:53,100,0,5031.0,9
24-10-2023 10:53,100,0,,16
24-10-2023 10:53,100,1,,1
24-10-2023 10:53,100,0,,50
24-10-2023 10:53,133,0,,2
24-10-2023 10:53,150,0,5030.0,2
24-10-2023 10:53,150,0,,1
24-10-2023 10:53,150,0,,1
24-10-2023 10:53,200,0,2001.0,39
24-10-2023 10:53,200,0,2001.0,17
24-10-2023 10:53,200,0,5031.0,1
24-10-2023 10:53,300,1,2001.0,2
24-10-2023 10:53,300,1,2001.0,2
24-10-2023 10:53,300,1,4012.0,21
24-10-2023 10:53,300,1,4012.0,15
24-10-2023 10:53,300,0,5004.0,32
24-10-2023 10:53,300,0,5004.0,52
24-10-2023 10:53,300,1,5031.0,1
24-10-2023 10:54,100,0,2001.0,502
24-10-2023 10:54,100,0,2001.0,1444
24-10-2023 10:54,100,0,4010.0,8
24-10-2023 10:54,100,0,4010.0,1
24-10-2023 10:54,100,1,4012.0,3
24-10-2023 10:54,100,0,4012.0,593
24-10-2023 10:54,100,1,4012.0,2
24-10-2023 10:54,100,0,4012.0,212
24-10-2023 10:54,100,0,5031.0,25
24-10-2023 10:54,100,0,5031.0,15
24-10-2023 10:54,100,0,,36
24-10-2023 10:54,100,0,,8
24-10-2023 10:54,133,0,,4
24-10-2023 10:54,150,0,5030.0,2
24-10-2023 10:54,200,0,2001.0,39
24-10-2023 10:54,200,0,2001.0,9
24-10-2023 10:54,300,1,2001.0,2
24-10-2023 10:54,300,1,2001.0,4
24-10-2023 10:54,300,1,4012.0,26
24-10-2023 10:54,300,1,4012.0,25
24-10-2023 10:54,300,0,5004.0,37
24-10-2023 10:54,300,0,5004.0,51
24-10-2023 10:55,100,0,2001.0,1435
24-10-2023 10:55,100,0,2001.0,320
24-10-2023 10:55,100,0,4010.0,13
24-10-2023 10:55,100,0,4010.0,3
24-10-2023 10:55,100,0,4012.0,631
24-10-2023 10:55,100,1,4012.0,2
24-10-2023 10:55,100,0,4012.0,151
24-10-2023 10:55,100,0,5031.0,31
24-10-2023 10:55,100,0,5031.0,4
24-10-2023 10:55,100,0,,15
24-10-2023 10:55,100,0,,49
24-10-2023 10:55,133,0,,1
24-10-2023 10:55,150,0,4010.0,2
24-10-2023 10:55,150,0,5030.0,1
24-10-2023 10:55,200,0,2001.0,9
24-10-2023 10:55,200,0,2001.0,43
24-10-2023 10:55,300,1,2001.0,2
24-10-2023 10:55,300,1,4012.0,10
24-10-2023 10:55,300,1,4012.0,16
24-10-2023 10:55,300,0,5004.0,6
24-10-2023 10:55,300,0,5004.0,18
24-10-2023 10:55,400,0,5004.0,1
24-10-2023 10:56,100,0,2001.0,1377
24-10-2023 10:56,100,0,2001.0,456
24-10-2023 10:56,100,0,4010.0,7
24-10-2023 10:56,100,0,4010.0,1
24-10-2023 10:56,100,0,4012.0,212
24-10-2023 10:56,100,0,4012.0,580
24-10-2023 10:56,100,0,5031.0,13
24-10-2023 10:56,100,0,5031.0,22
24-10-2023 10:56,100,0,,39
24-10-2023 10:56,100,0,,15
24-10-2023 10:56,133,0,,1
24-10-2023 10:56,150,0,5030.0,1
24-10-2023 10:56,150,0,,1
24-10-2023 10:56,200,0,2001.0,14
24-10-2023 10:56,200,0,2001.0,32
24-10-2023 10:56,300,1,4012.0,31
24-10-2023 10:56,300,1,4012.0,27
24-10-2023 10:56,300,0,5004.0,24
24-10-2023 10:56,300,0,5004.0,12
24-10-2023 10:57,100,0,2001.0,465
24-10-2023 10:57,100,0,2001.0,1455
24-10-2023 10:57,100,0,4010.0,3
24-10-2023 10:57,100,0,4010.0,3
24-10-2023 10:57,100,0,4012.0,191
24-10-2023 10:57,100,0,4012.0,574
