CDR_HOUR,ATT_MM,BFT_MM,BYP_MM,ATT_PK,BFT_PK,BYP_PK
10:16,4051,0.0,0,5303,0.0,0
10:17,3822,0.0,0,5388,0.0,0
10:18,3967,0.0,0,5386,0.0,0
10:19,4036,0.0,0,5445,0.0,0
10:20,3846,0.0,0,5427,0.0,0
10:21,4008,0.0,0,5435,0.0,0
10:22,4129,0.0,0,5537,0.0,0
10:23,3946,0.0,0,5538,0.0,0
10:24,3943,0.0,0,5461,0.0,0
10:25,3895,0.0,0,5421,0.0,0
10:26,3880,0.0,0,5373,1.0,0
10:35,3824,0.0,0,5431,0.0,0
10:36,4028,0.0,0,5475,0.0,0
10:37,3935,0.0,0,5315,0.0,0
10:38,4063,0.0,0,5512,0.0,0
10:39,3880,0.0,0,5294,0.0,0
10:40,4080,0.0,0,5460,0.0,0
10:41,3964,1.0,0,5521,0.0,0
10:42,3933,0.0,0,5510,0.0,0
10:43,4017,0.0,0,5582,0.0,0
10:44,4063,0.0,0,5488,0.0,0
10:45,4041,0.0,0,5430,0.0,0
10:46,3945,0.0,0,5449,0.0,0
10:47,3993,0.0,0,5415,0.0,0
