CDR_DATE,CDR_HOUR,INSTANCE_ID,DIAMETER_RESULT_CODES,SERVICE_KEY,CALL_TYPE,IS_ROAMING,IS_CHARGING_OVERRULED,ISBFT,TOTAL,REMARK
24-12-2023,09:41,MM,2001,100,1,0,0,0,837,day0
24-12-2023,09:41,MM,2001,100,3,0,0,0,60,day0
24-12-2023,09:41,MM,2001,200,1,0,0,0,3,day0
24-12-2023,09:41,MM,2001,300,2,1,0,0,2,day0
24-12-2023,09:41,MM,4010,100,1,0,0,0,3,day0
24-12-2023,09:41,MM,4012,100,1,0,0,0,400,day0
24-12-2023,09:41,MM,4012,100,3,0,0,0,33,day0
24-12-2023,09:41,MM,4012,300,2,1,0,0,19,day0
24-12-2023,09:41,MM,5004,300,2,0,0,0,25,day0
24-12-2023,09:41,MM,5031,100,1,0,0,0,20,day0
24-12-2023,09:41,MM,5031,100,3,0,0,0,3,day0
24-12-2023,09:41,MM,,100,1,0,0,0,29,day0
24-12-2023,09:41,MM,,133,4,0,0,0,0,day0
24-12-2023,09:41,PK,2001,100,1,0,0,0,844,day0
24-12-2023,09:41,PK,2001,100,3,0,0,0,74,day0
24-12-2023,09:41,PK,2001,200,1,0,0,0,3,day0
24-12-2023,09:41,PK,2001,200,3,0,0,0,1,day0
24-12-2023,09:41,PK,2001,300,2,1,0,0,3,day0
24-12-2023,09:41,PK,4010,100,1,0,0,0,10,day0
24-12-2023,09:41,PK,4010,100,3,0,0,0,1,day0
24-12-2023,09:41,PK,4012,100,1,0,0,0,362,day0
24-12-2023,09:41,PK,4012,100,3,0,0,0,35,day0
24-12-2023,09:41,PK,4012,300,2,1,0,0,25,day0
24-12-2023,09:41,PK,5004,300,2,0,0,0,29,day0
24-12-2023,09:41,PK,5031,100,1,0,0,0,14,day0
24-12-2023,09:41,PK,5031,100,3,0,0,0,3,day0
24-12-2023,09:41,PK,,100,1,0,0,0,20,day0
24-12-2023,09:41,PK,,133,4,0,0,0,0,day0
24-12-2023,09:42,MM,2001,100,1,0,0,0,832,day0
24-12-2023,09:42,MM,2001,100,3,0,0,0,68,day0
24-12-2023,09:42,MM,2001,200,1,0,0,0,2,day0
24-12-2023,09:42,MM,2001,200,3,0,0,0,1,day0
24-12-2023,09:42,MM,2001,300,2,1,0,0,8,day0
24-12-2023,09:42,MM,4010,100,1,0,0,0,1,day0
24-12-2023,09:42,MM,4012,100,1,0,0,0,388,day0
24-12-2023,09:42,MM,4012,100,1,1,0,0,1,day0
24-12-2023,09:42,MM,4012,100,3,0,0,0,51,day0
24-12-2023,09:42,MM,4012,300,2,1,0,0,8,day0
24-12-2023,09:42,MM,5004,300,2,0,0,0,41,day0
24-12-2023,09:42,MM,5030,150,1,0,0,0,1,day0
24-12-2023,09:42,MM,5031,100,1,0,0,0,12,day0
24-12-2023,09:42,MM,5031,100,3,0,0,0,3,day0
24-12-2023,09:42,MM,,100,1,0,0,0,26,day0
24-12-2023,09:42,PK,2001,100,1,0,0,0,833,day0
24-12-2023,09:42,PK,2001,100,3,0,0,0,67,day0
24-12-2023,09:42,PK,2001,200,1,0,0,0,7,day0
24-12-2023,09:42,PK,2001,300,2,1,0,0,1,day0
24-12-2023,09:42,PK,4010,100,1,0,0,0,7,day0
24-12-2023,09:42,PK,4012,100,1,0,0,0,380,day0
24-12-2023,09:42,PK,4012,100,1,1,0,0,2,day0
24-12-2023,09:42,PK,4012,100,3,0,0,0,39,day0
24-12-2023,09:42,PK,4012,300,2,1,0,0,10,day0
24-12-2023,09:42,PK,4012,300,3,1,0,0,1,day0
24-12-2023,09:42,PK,5004,300,2,0,0,0,30,day0
24-12-2023,09:42,PK,5031,100,1,0,0,0,15,day0
24-12-2023,09:42,PK,5031,100,3,0,0,0,1,day0
24-12-2023,09:42,PK,,100,1,0,0,0,22,day0
24-12-2023,09:42,PK,,100,1,1,0,0,1,day0
24-12-2023,09:42,PK,,133,4,0,0,0,0,day0
24-12-2023,09:43,MM,2001,100,1,0,0,0,885,day0
24-12-2023,09:43,MM,2001,100,3,0,0,0,82,day0
24-12-2023,09:43,MM,2001,300,2,1,0,0,2,day0
24-12-2023,09:43,MM,4010,100,1,0,0,0,4,day0
24-12-2023,09:43,MM,4012,100,1,0,0,0,373,day0
24-12-2023,09:43,MM,4012,100,1,1,0,0,1,day0
24-12-2023,09:43,MM,4012,100,3,0,0,0,44,day0
24-12-2023,09:43,MM,4012,300,2,1,0,0,19,day0
24-12-2023,09:43,MM,5004,300,2,0,0,0,27,day0
24-12-2023,09:43,MM,5031,100,1,0,0,0,21,day0
24-12-2023,09:43,MM,5031,100,3,0,0,0,1,day0
24-12-2023,09:43,MM,,100,1,0,0,0,23,day0
24-12-2023,09:43,MM,,100,1,1,0,0,1,day0
24-12-2023,09:43,MM,,133,4,0,0,0,0,day0
24-12-2023,09:43,PK,2001,100,1,0,0,0,904,day0
24-12-2023,09:43,PK,2001,100,3,0,0,0,67,day0
24-12-2023,09:43,PK,2001,200,1,0,0,0,6,day0
24-12-2023,09:43,PK,4012,100,1,0,0,0,351,day0
24-12-2023,09:43,PK,4012,100,1,1,0,0,1,day0
24-12-2023,09:43,PK,4012,100,3,0,0,0,52,day0
24-12-2023,09:43,PK,4012,300,2,1,0,0,31,day0
24-12-2023,09:43,PK,5004,300,2,0,0,0,20,day0
24-12-2023,09:43,PK,5031,100,1,0,0,0,31,day0
24-12-2023,09:43,PK,5031,100,3,0,0,0,4,day0
24-12-2023,09:43,PK,,100,1,0,0,0,26,day0
24-12-2023,09:43,PK,,100,1,1,0,0,2,day0
24-12-2023,09:43,PK,,133,4,0,0,0,0,day0
24-12-2023,09:44,MM,2001,100,1,0,0,0,855,day0
24-12-2023,09:44,MM,2001,100,1,1,0,0,1,day0
24-12-2023,09:44,MM,2001,100,3,0,0,0,47,day0
24-12-2023,09:44,MM,2001,200,1,0,0,0,3,day0
24-12-2023,09:44,MM,2001,300,2,1,0,0,3,day0
24-12-2023,09:44,MM,4010,100,1,0,0,0,5,day0
24-12-2023,09:44,MM,4012,100,1,0,0,0,371,day0
24-12-2023,09:44,MM,4012,100,3,0,0,0,31,day0
24-12-2023,09:44,MM,4012,300,2,1,0,0,28,day0
24-12-2023,09:44,MM,5004,300,2,0,0,0,50,day0
24-12-2023,09:44,MM,5031,100,1,0,0,0,23,day0
24-12-2023,09:44,MM,5031,100,3,0,0,0,4,day0
24-12-2023,09:44,MM,,100,1,0,0,0,23,day0
24-12-2023,09:44,PK,2001,100,1,0,0,0,882,day0
24-12-2023,09:44,PK,2001,100,1,1,0,0,1,day0
24-12-2023,09:44,PK,2001,100,3,0,0,0,70,day0
24-12-2023,09:44,PK,2001,200,1,0,0,0,2,day0
24-12-2023,09:44,PK,2001,300,2,1,0,0,3,day0
24-12-2023,09:44,PK,4010,100,1,0,0,0,1,day0
24-12-2023,09:44,PK,4010,100,3,0,0,0,2,day0
24-12-2023,09:44,PK,4012,100,1,0,0,0,339,day0
24-12-2023,09:44,PK,4012,100,1,1,0,0,1,day0
24-12-2023,09:44,PK,4012,100,3,0,0,0,43,day0
24-12-2023,09:44,PK,4012,300,2,1,0,0,31,day0
24-12-2023,09:44,PK,5004,300,2,0,0,0,38,day0
24-12-2023,09:44,PK,5031,100,1,0,0,0,16,day0
24-12-2023,09:44,PK,5031,100,3,0,0,0,6,day0
24-12-2023,09:44,PK,,100,1,0,0,0,31,day0
24-12-2023,09:45,MM,2001,100,1,0,0,0,862,day0
24-12-2023,09:45,MM,2001,100,3,0,0,0,87,day0
24-12-2023,09:45,MM,2001,200,1,0,0,0,3,day0
24-12-2023,09:45,MM,4010,100,1,0,0,0,4,day0
