CDR_HOUR,CDR_DATE,ATTEMPT,SUCCESS
00,07-10-2023,49453,48512
01,07-10-2023,32231,31676
02,07-10-2023,22663,22208
03,07-10-2023,18837,18400
04,07-10-2023,26921,26434
05,07-10-2023,53272,52161
06,07-10-2023,84728,82838
07,07-10-2023,113479,110993
08,07-10-2023,147062,144097
09,07-10-2023,168368,165129
10,07-10-2023,177776,174499
11,07-10-2023,174214,170684
12,07-10-2023,178967,175371
13,07-10-2023,162094,158932
14,07-10-2023,157989,155113
15,07-10-2023,160145,157334
16,07-10-2023,170129,167301
17,07-10-2023,175334,171909
18,07-10-2023,195499,191331
19,07-10-2023,193978,189420
20,07-10-2023,166652,162526
21,07-10-2023,137104,133890
22,07-10-2023,17208,16830
