CDRDATE,CP_NAME,CPID,ACCESSFLAG,BASICCAUSE,INTERNALCAUSE,REVENUE,TOTAL,REMARK
2023-11-06 00,MitraComm Ekasarana,100,66,938,2001,10500,21,day0
2023-11-06 00,MitraComm Ekasarana,100,66,940,4012,0,4,day0
2023-11-06 00,MitraComm Ekasarana,100,67,111,4012,0,1145,day0
2023-11-06 00,MitraComm Ekasarana,100,67,41,,3200,4,day0
2023-11-06 00,MitraComm Ekasarana,100,67,940,4010,0,38,day0
2023-11-06 00,MitraComm Ekasarana,100,67,940,5030,0,230,day0
2023-11-06 00,MitraComm Ekasarana,100,67,940,5031,0,14,day0
2023-11-06 00,MitraComm Ekasarana,100,67,941,2001,217600,272,day0
2023-11-06 00,SPRINT_Strata Prima Internusa,107,66,938,2001,311350,623,day0
2023-11-06 00,SPRINT_Strata Prima Internusa,107,66,940,4012,0,527,day0
2023-11-06 00,SPRINT_Strata Prima Internusa,107,66,940,5031,0,2,day0
2023-11-06 00,SPRINT_Strata Prima Internusa,107,67,111,4012,0,544,day0
2023-11-06 00,SPRINT_Strata Prima Internusa,107,67,940,5030,0,1,day0
2023-11-06 00,SPRINT_Strata Prima Internusa,107,67,940,5031,0,1,day0
2023-11-06 00,SPRINT_Strata Prima Internusa,107,67,941,2001,560800,706,day0
2023-11-06 00,Jatis Mobile,110,66,938,2001,0,10,day0
2023-11-06 00,Jatis Mobile,110,67,111,4012,0,1,day0
2023-11-06 00,Jatis Mobile,110,67,941,2001,990,10,day0
2023-11-06 00,CP Nine Live,123,73,941,2001,0,2,day0
2023-11-06 00,Artajasa,134,66,938,2001,900,2,day0
2023-11-06 00,Artajasa,134,66,940,4012,0,1,day0
2023-11-06 00,Artajasa,134,67,941,2001,1200,2,day0
2023-11-06 00,Infinetworks CIMB Niaga,137,66,938,2001,7200,16,day0
2023-11-06 00,Infinetworks CIMB Niaga,137,66,940,4012,0,9,day0
2023-11-06 00,Infinetworks CIMB Niaga,137,67,111,4012,0,28,day0
2023-11-06 00,Infinetworks CIMB Niaga,137,67,941,2001,44200,58,day0
2023-11-06 00,Global Media Solusi,153,66,938,2001,0,1,day0
2023-11-06 00,Global Media Solusi,153,72,123,2001,0,4,day0
2023-11-06 00,Global Media Solusi,153,73,941,2001,0,1,day0
2023-11-06 00,GENFLIX,154,66,938,2001,0,37,day0
2023-11-06 00,GENFLIX,154,66,940,5031,0,1,day0
2023-11-06 00,GENFLIX,154,73,941,2001,0,31,day0
2023-11-06 00,Emobile,156,66,601,,0,7,day0
2023-11-06 00,Emobile,156,66,938,2001,13550,30,day0
2023-11-06 00,Emobile,156,66,940,4012,0,18,day0
2023-11-06 00,Emobile,156,67,111,4012,0,35,day0
2023-11-06 00,Emobile,156,67,940,4010,0,2,day0
2023-11-06 00,Emobile,156,67,940,5030,0,2,day0
2023-11-06 00,Emobile,156,67,941,2001,36000,58,day0
2023-11-06 00,Era Digital Media,164,66,938,2001,0,4,day0
2023-11-06 00,Era Digital Media,164,66,940,5031,0,1,day0
2023-11-06 00,Era Digital Media,164,72,123,2001,0,2,day0
2023-11-06 00,Era Digital Media,164,73,111,4012,0,89428,day0
2023-11-06 00,Era Digital Media,164,73,23,,20283788,20467,day0
2023-11-06 00,Era Digital Media,164,73,6,,1589564,1544,day0
2023-11-06 00,Era Digital Media,164,73,940,4010,0,22,day0
2023-11-06 00,Era Digital Media,164,73,940,5031,0,260,day0
2023-11-06 00,Era Digital Media,164,73,941,2001,1530104,1572,day0
2023-11-06 00,Era Digital Media,164,73,973,,265588,268,day0
2023-11-06 00,Yatta Eracipta Solusi,166,73,941,2001,0,3,day0
2023-11-06 00,Forest Indo Niaga,171,73,111,4012,0,8437,day0
2023-11-06 00,Forest Indo Niaga,171,73,23,,118920,60,day0
2023-11-06 00,Forest Indo Niaga,171,73,940,5031,0,11,day0
2023-11-06 00,Forest Indo Niaga,171,73,941,2001,75316,38,day0
2023-11-06 00,Forest Indo Niaga,171,73,973,,148650,75,day0
2023-11-06 00,Forest Indo Niaga,171,73,991,,27874,14,day0
2023-11-06 00,Sinergi Bestama Indonesia,187,73,111,4012,0,7908,day0
2023-11-06 00,Sinergi Bestama Indonesia,187,73,23,,870098,878,day0
2023-11-06 00,Sinergi Bestama Indonesia,187,73,6,,9910,10,day0
2023-11-06 00,Sinergi Bestama Indonesia,187,73,940,4010,0,2,day0
2023-11-06 00,Sinergi Bestama Indonesia,187,73,940,5031,0,3,day0
2023-11-06 00,Sinergi Bestama Indonesia,187,73,941,2001,686763,702,day0
2023-11-06 00,Digital HUB Accenture,191,66,938,2001,0,24,day0
2023-11-06 00,Digital HUB Accenture,191,67,941,2001,0,29,day0
2023-11-06 00,PT Festival Digital Nusantara,193,66,938,2001,0,22,day0
2023-11-06 00,PT Festival Digital Nusantara,193,73,941,2001,0,14,day0
2023-11-06 00,VIU,198,67,941,2001,0,144,day0
2023-11-06 00,PT. Distribution Oriented Technologies,200,66,938,2001,0,1,day0
2023-11-06 00,Galatic Multimedia_oomph,201,73,941,2001,0,5,day0
2023-11-06 00,LinkIT_360,206,66,938,2001,0,1,day0
2023-11-06 00,LinkIT_360,206,73,941,2001,0,15,day0
2023-11-06 00,PT Metrane,210,66,601,,0,4,day0
2023-11-06 00,PT Metrane,210,66,938,2001,0,9,day0
2023-11-06 00,PT Metrane,210,67,941,2001,0,91,day0
2023-11-06 00,PT Metrane,210,68,949,2001,171622,7,day0
2023-11-06 00,Akses Cipta Solusi,235,66,940,4012,0,1,day0
2023-11-06 00,Akses Cipta Solusi,235,67,111,4012,0,1,day0
2023-11-06 00,Redision,237,66,938,2001,0,4,day0
2023-11-06 00,Redision,237,67,941,2001,14865,8,day0
2023-11-06 00,GMS AG (bulk),239,66,938,2001,0,3437,day0
2023-11-06 00,GMS AG (bulk),239,66,940,5030,0,34,day0
2023-11-06 00,GMS AG (bulk),239,66,940,5031,0,187,day0
2023-11-06 00,Monty Mobile (bulk),240,66,938,2001,0,142,day0
2023-11-06 00,BPJS,242,67,111,4012,0,56,day0
2023-11-06 00,BPJS,242,67,41,,694,2,day0
2023-11-06 00,BPJS,242,67,940,5030,0,1,day0
2023-11-06 00,BPJS,242,67,941,2001,21167,61,day0
2023-11-06 00,PT. Gloria Viva Nusantara,250,66,601,,0,3,day0
2023-11-06 00,PT. Gloria Viva Nusantara,250,72,123,2001,0,6,day0
