CDR_HOUR,ATT_0,ATT_1,ATT_7,SUC_0,SUC_1,SUC_7,BMOATT_0,BMOATT_1,BMOATT_7,BMOSUC_0,BMOSUC_1,BMOSUC_7,BMTATT_0,BMTATT_1,BMTATT_7,BMTSUC_0,BMTSUC_1,BMTSUC_7,DIGATT_0,DIGATT_1,DIGATT_7,DIGSUC_0,DIGSUC_1,DIGSUC_7,SMOATT_0,SMOATT_1,SMOATT_7,SMOSUC_0,SMOSUC_1,SMOSUC_7,SMTATT_0,SMTATT_1,SMTATT_7,SMTSUC_0,SMTSUC_1,SMTSUC_7
20:23,15335,21659,20386,13350,18562,18437,189.0,247.0,225.0,189.0,245.0,225.0,608.0,649.0,621.0,608.0,649.0,620.0,250,229,252,250,229,252,211.0,170.0,113.0,174.0,147.0,84.0,14077.0,20364.0,19175.0,12129.0,17292.0,17256.0
20:24,13290,21692,20119,11066,19039,17095,176.0,243.0,199.0,175.0,243.0,199.0,595.0,652.0,615.0,595.0,651.0,615.0,253,292,251,253,292,251,209.0,213.0,136.0,164.0,181.0,110.0,12057.0,20292.0,18918.0,9879.0,17672.0,15920.0
20:25,8715,20688,19527,7293,17855,16695,197.0,236.0,246.0,197.0,233.0,245.0,462.0,617.0,633.0,460.0,616.0,629.0,146,230,280,146,230,280,177.0,206.0,165.0,139.0,166.0,124.0,7733.0,19399.0,18203.0,6351.0,16610.0,15417.0
20:26,6798,20510,18895,5634,18092,16422,121.0,209.0,240.0,121.0,209.0,239.0,357.0,655.0,621.0,357.0,654.0,618.0,89,276,256,89,276,256,123.0,226.0,131.0,106.0,198.0,96.0,6108.0,19144.0,17647.0,4961.0,16755.0,15213.0
20:29,13696,20531,19818,11993,16895,16902,134.0,259.0,240.0,134.0,259.0,239.0,577.0,655.0,615.0,575.0,654.0,615.0,240,240,240,240,240,240,161.0,252.0,194.0,132.0,219.0,136.0,12584.0,19125.0,18529.0,10912.0,15523.0,15672.0
20:30,13826,19959,20984,10920,16231,18459,147.0,249.0,229.0,147.0,244.0,227.0,568.0,602.0,599.0,568.0,602.0,599.0,184,217,152,184,217,152,134.0,232.0,160.0,111.0,191.0,121.0,12793.0,18659.0,19844.0,9910.0,14977.0,17360.0
20:31,13638,20375,19378,11609,17875,15498,164.0,224.0,259.0,163.0,222.0,256.0,567.0,666.0,634.0,565.0,666.0,633.0,152,189,131,152,189,131,193.0,250.0,141.0,165.0,200.0,102.0,12562.0,19046.0,18213.0,10564.0,16598.0,14376.0
20:32,13824,20596,18159,12074,18555,14791,159.0,216.0,216.0,158.0,216.0,216.0,564.0,675.0,618.0,564.0,673.0,617.0,149,195,166,149,195,166,188.0,210.0,143.0,152.0,178.0,110.0,12764.0,19300.0,17016.0,11051.0,17293.0,13682.0
20:33,8801,21201,17262,7659,18793,14734,156.0,208.0,222.0,155.0,207.0,221.0,417.0,643.0,560.0,417.0,639.0,560.0,95,211,137,95,211,137,181.0,234.0,121.0,147.0,200.0,84.0,7952.0,19905.0,16222.0,6845.0,17536.0,13732.0
20:35,14592,19299,20090,12122,16459,16839,227.0,224.0,243.0,226.0,224.0,243.0,580.0,638.0,601.0,580.0,636.0,598.0,181,189,217,181,189,217,250.0,233.0,140.0,211.0,198.0,106.0,13354.0,18015.0,18889.0,10924.0,15212.0,15675.0
