
"CDRDATE","CP_NAME","CPID","ACCESSFLAG","BASICCAUSE","INTERNALCAUSE","REVENUE","TOTAL"
"2023-11-12 14:44","MitraComm Ekasarana","100","66","938","2001",1000,2
"2023-11-12 14:44","MitraComm Ekasarana","100","67","111","4012",0,49
"2023-11-12 14:44","MitraComm Ekasarana","100","67","940","4010",0,2
"2023-11-12 14:44","MitraComm Ekasarana","100","67","940","5030",0,9
"2023-11-12 14:44","MitraComm Ekasarana","100","67","941","2001",16800,21
"2023-11-12 14:44","SPRINT_Strata Prima Internusa","107","66","938","2001",8500,17
"2023-11-12 14:44","SPRINT_Strata Prima Internusa","107","66","940","4012",0,11
"2023-11-12 14:44","SPRINT_Strata Prima Internusa","107","67","111","4012",0,24
"2023-11-12 14:44","SPRINT_Strata Prima Internusa","107","67","941","2001",17400,23
"2023-11-12 14:44","Jatis Mobile","110","66","938","2001",0,1
"2023-11-12 14:44","Jatis Mobile","110","67","941","2001",0,1
"2023-11-12 14:44","Infinetworks CIMB Niaga","137","67","111","4012",0,1
"2023-11-12 14:44","GENFLIX","154","66","938","2001",0,1
"2023-11-12 14:44","Emobile","156","67","111","4012",0,2
"2023-11-12 14:44","Emobile","156","67","941","2001",1800,3
"2023-11-12 14:44","Era Digital Media","164","72","372","2001",0,32
"2023-11-12 14:44","Era Digital Media","164","72","9",,0,5
"2023-11-12 14:44","Era Digital Media","164","72","987","2001",0,32
"2023-11-12 14:44","Era Digital Media","164","73","111","4012",0,3185
"2023-11-12 14:44","Era Digital Media","164","73","6",,12883,13
"2023-11-12 14:44","Era Digital Media","164","73","940","4010",0,1
"2023-11-12 14:44","Era Digital Media","164","73","941","2001",34685,69
"2023-11-12 14:44","Era Digital Media","164","73","973",,31712,32
"2023-11-12 14:44","Yatta Eracipta Solusi","166","73","111","4012",0,589
"2023-11-12 14:44","Yatta Eracipta Solusi","166","73","23",,23784,12
"2023-11-12 14:44","Yatta Eracipta Solusi","166","73","6",,1982,1
"2023-11-12 14:44","Forest Indo Niaga","171","73","111","4012",0,631
"2023-11-12 14:44","Forest Indo Niaga","171","73","23",,1982,1
"2023-11-12 14:44","Forest Indo Niaga","171","73","941","2001",3964,2
"2023-11-12 14:44","Forest Indo Niaga","171","73","973",,5946,3
"2023-11-12 14:44","Sinergi Bestama Indonesia","187","73","111","4012",0,30
"2023-11-12 14:44","Sinergi Bestama Indonesia","187","73","23",,1982,1
"2023-11-12 14:44","Digital HUB Accenture","191","66","938","2001",0,1
"2023-11-12 14:44","Digital HUB Accenture","191","67","941","2001",0,1
"2023-11-12 14:44","VIU","198","67","941","2001",0,24
"2023-11-12 14:44","LinkIT_360","206","73","111","4012",0,108
"2023-11-12 14:44","PT Metrane","210","67","941","2001",0,4
"2023-11-12 14:44","Redision","237","66","938","2001",0,1
"2023-11-12 14:44","Redision","237","67","941","2001",4955,1
"2023-11-12 14:44","GMS AG (bulk)","239","66","938","2001",0,145
"2023-11-12 14:44","GMS AG (bulk)","239","66","940","5030",0,3
"2023-11-12 14:44","GMS AG (bulk)","239","66","940","5031",0,1
"2023-11-12 14:44","Monty Mobile (bulk)","240","66","938","2001",0,3
"2023-11-12 14:44","BPJS","242","67","111","4012",0,2
"2023-11-12 14:44","BPJS","242","67","941","2001",2082,6
"2023-11-12 14:44","SahabatMudaKreatif","252","73","111","4012",0,999
"2023-11-12 14:44","SahabatMudaKreatif","252","73","940","5031",0,1
"2023-11-12 14:44","SahabatMudaKreatif","252","73","941","2001",3964,2
"2023-11-12 14:44","8Elements","254","73","111","4012",0,485
"2023-11-12 14:44","8Elements","254","73","23",,3964,4
"2023-11-12 14:44","8Elements","254","73","6",,1982,2
"2023-11-12 14:44","8Elements","254","73","941","2001",19820,20
"2023-11-12 14:44","PT. Aman Devloop Indonesia","257","73","111","4012",0,187
"2023-11-12 14:44","PT. Aman Devloop Indonesia","257","73","991",,396400,400
"2023-11-12 14:44","Telesat_System_Integrator","261","73","111","4012",0,18
"2023-11-12 14:44","Telesat_System_Integrator","261","73","23",,991,1
"2023-11-12 14:44","Telesat_System_Integrator","261","73","941","2001",991,1
"2023-11-12 14:44","KEE_Digital","2895","73","111","4012",0,1975
"2023-11-12 14:44","KEE_Digital","2895","73","941","2001",22500,25
"2023-11-12 14:44","18 Box Media","2915","72","372","2001",0,1
"2023-11-12 14:44","18 Box Media","2915","72","987","2001",0,1
"2023-11-12 14:44","18 Box Media","2915","73","111","4012",0,1053
"2023-11-12 14:44","18 Box Media","2915","73","23",,7924,4
"2023-11-12 14:44","18 Box Media","2915","73","940","5031",0,63
"2023-11-12 14:44","18 Box Media","2915","73","941","2001",21791,12
"2023-11-12 14:44","Access Mobile","42","67","941","2001",0,3
"2023-11-12 14:44","Triyakom","50","66","938","2001",0,3
"2023-11-12 14:44","Triyakom","50","67","111","4012",0,1
"2023-11-12 14:44","Triyakom","50","67","940","5030",0,18
"2023-11-12 14:44","Triyakom","50","67","941","2001",0,357
"2023-11-12 14:44","Triyakom","50","68","949","2001",50000,3
"2023-11-12 14:44","Triyakom","50","72","372","2001",0,18
"2023-11-12 14:44","Triyakom","50","72","9",,0,3
"2023-11-12 14:44","Triyakom","50","72","987","2001",0,18
"2023-11-12 14:44","Triyakom","50","73","111","4012",0,642
"2023-11-12 14:44","Triyakom","50","73","23",,901,1
"2023-11-12 14:44","Triyakom","50","73","6",,901,1
"2023-11-12 14:44","Triyakom","50","73","941","2001",53040,57
"2023-11-12 14:44","Triyakom","50","73","973",,1802,2
"2023-11-12 14:44","Utopia","51","73","111","4012",0,2979
"2023-11-12 14:44","Utopia","51","73","23",,76230,154
"2023-11-12 14:44","Utopia","51","73","6",,4455,9
"2023-11-12 14:44","Utopia","51","73","941","2001",2790,5
"2023-11-12 14:44","Utopia","51","73","973",,4455,9
"2023-11-12 14:44","Utopia","51","73","991",,3960,8
"2023-11-12 14:44","Falcon","52","72","372","2001",0,16
"2023-11-12 14:44","Falcon","52","72","9",,0,7
"2023-11-12 14:44","Falcon","52","72","987","2001",0,16
"2023-11-12 14:44","Falcon","52","73","111","4012",0,2111
"2023-11-12 14:44","Falcon","52","73","6",,5946,6
"2023-11-12 14:44","Falcon","52","73","940","5031",0,1
"2023-11-12 14:44","Falcon","52","73","941","2001",45586,80
"2023-11-12 14:44","Fortumo","69","67","941","2001",0,2
"2023-11-12 14:44","Fortumo","69","68","111","4012",0,3
"2023-11-12 14:44","Fortumo","69","68","949","2001",2500,1
"2023-11-12 14:44","Codapay","74","67","715",,0,2
"2023-11-12 14:44","Codapay","74","67","940","5030",0,2
"2023-11-12 14:44","Codapay","74","67","941","2001",0,29
"2023-11-12 14:44","Codapay","74","68","949","2001",123066,14
"2023-11-12 14:44","Celltick_Project","77","72","372","2001",0,1
"2023-11-12 14:44","Celltick_Project","77","72","9",,0,1
"2023-11-12 14:44","Celltick_Project","77","72","987","2001",0,1
"2023-11-12 14:44","Celltick_Project","77","73","111","4012",0,855
"2023-11-12 14:44","Celltick_Project","77","73","23",,13515,15
"2023-11-12 14:44","Celltick_Project","77","73","6",,901,1
"2023-11-12 14:44","Celltick_Project","77","73","941","2001",8109,11
"2023-11-12 14:44","Celltick_Project","77","73","973",,5406,6
"2023-11-12 14:44","NetM_GooglePlay","78","66","938","2001",0,14
"2023-11-12 14:44","NetM_GooglePlay","78","67","941","2001",0,15
"2023-11-12 14:44","NetM_GooglePlay","78","68","111","4012",0,199
"2023-11-12 14:44","NetM_GooglePlay","78","68","948","5031",0,2
"2023-11-12 14:44","NetM_GooglePlay","78","68","949","2001",232767,15
"2023-11-12 14:45","MitraComm Ekasarana","100","66","938","2001",450,1
"2023-11-12 14:45","MitraComm Ekasarana","100","67","111","4012",0,49
"2023-11-12 14:45","MitraComm Ekasarana","100","67","940","5030",0,8
"2023-11-12 14:45","MitraComm Ekasarana","100","67","941","2001",12800,16
"2023-11-12 14:45","SPRINT_Strata Prima Internusa","107","66","938","2001",7500,15
"2023-11-12 14:45","SPRINT_Strata Prima Internusa","107","66","940","4012",0,14
"2023-11-12 14:45","SPRINT_Strata Prima Internusa","107","67","111","4012",0,17
"2023-11-12 14:45","SPRINT_Strata Prima Internusa","107","67","941","2001",17000,22
"2023-11-12 14:45","Jatis Mobile","110","66","938","2001",0,1
"2023-11-12 14:45","Jatis Mobile","110","67","941","2001",495,1
"2023-11-12 14:45","Infinetworks CIMB Niaga","137","67","111","4012",0,1
"2023-11-12 14:45","Emobile","156","66","940","4012",0,1
