CDR_HOUR,ATT_0,ATT_1,ATT_7,SUC_0,SUC_1,SUC_7,BMOATT_0,BMOATT_1,BMOATT_7,BMOSUC_0,BMOSUC_1,BMOSUC_7,BMTATT_0,BMTATT_1,BMTATT_7,BMTSUC_0,BMTSUC_1,BMTSUC_7,DIGATT_0,DIGATT_1,DIGATT_7,DIGSUC_0,DIGSUC_1,DIGSUC_7,SMOATT_0,SMOATT_1,SMOATT_7,SMOSUC_0,SMOSUC_1,SMOSUC_7,SMTATT_0,SMTATT_1,SMTATT_7,SMTSUC_0,SMTSUC_1,SMTSUC_7
00,433049,412047,377151,419183,402909,370587,5822,5426,5870,5801,5403,5834,27214,26882,27685,27178,26846,27640,7409,7161,6381,7409,7161,6381,2371,2209,2027,1875,1593,1582,390233,370369,335188,376920,361906,329150
01,595865,607137,557191,443437,454106,419171,3973,3804,4076,3961,3783,4059,26062,25608,32157,26038,25580,32135,7652,7294,7913,7652,7294,7913,2003,1532,1533,1601,1197,1237,556175,568899,511512,404185,416252,373827
02,697096,671564,632912,505167,503731,474577,2896,2573,2996,2843,2558,2987,53422,68235,69881,50693,64809,67533,6591,6523,7206,6536,6523,7206,1309,1136,1290,1011,890,1027,632878,593097,551539,444084,428951,395824
03,1019756,1033353,1025713,826614,857796,846774,2124,2062,2225,2119,2052,2221,68207,67734,68540,66502,66378,66834,5343,5133,5714,5343,5133,5714,994,836,853,785,630,687,943088,957588,948381,751865,783603,771318
04,1020395,1027447,1049115,834494,829945,863115,2218,2303,2307,2215,2296,2298,67955,67483,68328,66389,66672,66784,8088,8217,10314,8088,8217,10314,915,735,775,733,580,567,941219,948709,967391,757069,752180,783152
05,1067413,1123382,1071280,885539,930453,893643,3461,3636,3587,3450,3616,3562,67910,68828,68602,67610,68218,68319,7409,7311,10764,7409,7311,10764,1134,1037,1014,886,817,776,987499,1042570,987313,806184,850491,810222
06,1312590,1350887,1337542,1137795,1155482,1151389,4807,5285,4739,4799,5257,4713,27486,28227,28292,26879,27936,27683,11139,11085,11285,11139,11085,11285,1645,1442,1476,1274,1055,1146,1267513,1304848,1291750,1093704,1110149,1106562
07,1134771,1150286,1199014,1091504,1089854,1074295,5972,6304,6112,5957,6274,6087,32234,33645,33822,29371,30713,31041,9681,9341,10343,9681,9341,10343,2274,3780,2062,1771,2937,1625,1084610,1097216,1146675,1044724,1040589,1025199
08,1156586,1154597,1169365,1128378,1126112,1142608,7075,7505,7179,7052,7470,7151,38468,40456,40171,36140,38107,37857,10611,10474,11115,10611,10474,11115,4495,5079,4975,3433,3911,3851,1095937,1091083,1105925,1071142,1066150,1082634
09,1240100,1242585,1222966,1208752,1202443,1182700,8552,9465,8308,8517,9409,8268,34234,36557,35993,32730,35054,34474,11047,10703,11431,11047,10703,11431,6040,5616,9531,4693,4434,7614,1180227,1180244,1157703,1151765,1142843,1120913
10,1119357,1022903,920139,1089325,994840,892211,9452,10720,9665,9433,10674,9607,35041,36404,36228,34409,35770,35592,9932,9450,9621,9932,9450,9621,6821,8408,11647,5557,6810,9558,1058111,957921,852978,1029994,932136,827833
11,1251069,1190886,1165983,1226106,1167231,1142556,9788,11601,9915,9766,11558,9873,35820,37227,36318,35487,36896,35989,8985,8529,8595,8985,8529,8595,9165,10011,13360,7745,8272,11399,1187311,1123518,1097795,1164123,1101976,1076700
12,1209382,1136855,1133274,1176805,1084233,1099344,10172,12148,10150,10148,12129,10107,37669,38552,39213,36716,37602,38260,8609,8360,8358,8609,8360,8358,12912,9266,15305,11171,8032,13283,1140020,1068529,1060248,1110161,1018110,1029336
13,1182709,1132690,1088058,1154455,1107455,1062497,9918,12349,9969,9890,12329,9933,39585,40553,40961,36932,38178,38132,10114,9596,10312,10114,9596,10312,13818,9903,15725,12057,8488,13928,1109274,1060289,1011091,1085462,1038864,990192
14,1150488,1170550,1128465,1129182,1149154,1108164,10047,12373,9887,10017,12341,9845,36563,37779,36162,34574,35454,34396,10167,10101,10668,10167,10101,10668,19227,13306,17095,16844,11586,15563,1074484,1096991,1054653,1057580,1079672,1037692
15,1436363,1414726,1345411,1405960,1386886,1314322,9978,12311,10531,9959,12267,10478,36240,42635,36495,34744,41100,34998,9697,12127,10501,9697,12127,10501,16168,13502,13249,13868,11801,11754,1364280,1334151,1274635,1337692,1309591,1246591
16,1303108,1308821,1288797,1278969,1284998,1235791,10478,11943,10836,10455,11909,10801,34553,38634,35673,33920,37968,35019,11685,12765,13193,11685,12765,13192,12334,12587,14241,9990,10885,11819,1234058,1232892,1214854,1212919,1211471,1164960
17,1285332,1275253,1244093,1237651,1219944,1190272,11392,12854,11836,11357,12797,11802,35628,39738,36966,35315,39418,36645,12034,13102,13958,12034,13102,13958,12363,11079,14229,9716,9217,11146,1213915,1198480,1167104,1169229,1145410,1116721
18,1352330,1400195,1287817,1217859,1241162,1129293,13145,13590,12740,13103,13564,12692,39140,41446,41331,36508,39228,38478,14815,15211,15125,14815,15209,15125,11947,13771,8127,9313,11441,6387,1273283,1316177,1210494,1144120,1161720,1056611
19,1231472,1233358,1191718,1072633,1066465,1029307,13898,14532,13635,13854,14482,13550,39553,42668,40878,37560,40110,39082,14056,15128,15068,14056,15128,15068,10699,14803,9481,8482,12590,7214,1153266,1146227,1112656,998681,984155,954393
20,927726,1082624,1107984,794208,938894,961864,11914,13077,12778,11877,13009,12698,33989,38193,37274,32108,36233,35320,12616,13949,13759,12616,13949,13759,11842,12841,8154,9721,10787,6127,857365,1004564,1036019,727886,864916,893960
