CDR_DATE,CDR_HOUR,CONTENTPROVIDERID,CP_NAME,BASICCAUSE,INTERNALCAUSE,ACCESSFLAG,TOTAL,REMARK
11-02-2024,00,100,MitraComm Ekasarana,111,4012,67,1311,day0
11-02-2024,00,100,MitraComm Ekasarana,41,,67,1,day0
11-02-2024,00,100,MitraComm Ekasarana,938,2001,66,3,day0
11-02-2024,00,100,MitraComm Ekasarana,940,4010,67,9,day0
11-02-2024,00,100,MitraComm Ekasarana,940,4012,66,7,day0
11-02-2024,00,100,MitraComm Ekasarana,940,5030,67,218,day0
11-02-2024,00,100,MitraComm Ekasarana,940,5031,67,21,day0
11-02-2024,00,100,MitraComm Ekasarana,941,2001,67,226,day0
11-02-2024,00,107,SPRINT_Strata Prima Internusa,111,4012,67,443,day0
11-02-2024,00,107,SPRINT_Strata Prima Internusa,938,2001,66,538,day0
11-02-2024,00,107,SPRINT_Strata Prima Internusa,940,4012,66,421,day0
11-02-2024,00,107,SPRINT_Strata Prima Internusa,940,5030,66,3,day0
11-02-2024,00,107,SPRINT_Strata Prima Internusa,940,5030,67,3,day0
11-02-2024,00,107,SPRINT_Strata Prima Internusa,941,2001,67,600,day0
11-02-2024,00,110,Jatis Mobile,111,4012,67,2,day0
11-02-2024,00,110,Jatis Mobile,938,2001,66,21,day0
11-02-2024,00,110,Jatis Mobile,941,2001,67,21,day0
11-02-2024,00,134,Artajasa,940,4012,66,4,day0
11-02-2024,00,137,Infinetworks CIMB Niaga,111,4012,67,15,day0
11-02-2024,00,137,Infinetworks CIMB Niaga,938,2001,66,9,day0
11-02-2024,00,137,Infinetworks CIMB Niaga,940,4012,66,5,day0
11-02-2024,00,137,Infinetworks CIMB Niaga,940,5030,67,2,day0
11-02-2024,00,137,Infinetworks CIMB Niaga,941,2001,67,29,day0
11-02-2024,00,139,Macrokiosk,938,2001,66,3,day0
11-02-2024,00,139,Macrokiosk,941,2001,73,3,day0
11-02-2024,00,151,LinkTone_MNC,813,,66,1,day0
11-02-2024,00,153,Global Media Solusi,23,,73,120,day0
11-02-2024,00,154,GENFLIX,938,2001,66,60,day0
11-02-2024,00,154,GENFLIX,941,2001,73,25,day0
11-02-2024,00,156,Emobile,111,4012,67,76,day0
11-02-2024,00,156,Emobile,601,,66,19,day0
11-02-2024,00,156,Emobile,938,2001,66,23,day0
11-02-2024,00,156,Emobile,940,4012,66,19,day0
11-02-2024,00,156,Emobile,940,5030,67,1,day0
11-02-2024,00,156,Emobile,941,2001,67,69,day0
11-02-2024,00,163,Integrasi Tunas Muda,941,2001,73,1,day0
11-02-2024,00,164,Era Digital Media,111,4012,73,6,day0
11-02-2024,00,164,Era Digital Media,372,2001,72,6,day0
11-02-2024,00,164,Era Digital Media,9,,72,1,day0
11-02-2024,00,164,Era Digital Media,938,2001,66,1,day0
11-02-2024,00,164,Era Digital Media,941,2001,73,42,day0
11-02-2024,00,164,Era Digital Media,987,2001,72,6,day0
11-02-2024,00,166,Yatta Eracipta Solusi,941,2001,73,4,day0
11-02-2024,00,171,Forest Indo Niaga,940,4010,73,5,day0
11-02-2024,00,187,Sinergi Bestama Indonesia,111,4012,73,17300,day0
11-02-2024,00,187,Sinergi Bestama Indonesia,23,,73,259,day0
11-02-2024,00,187,Sinergi Bestama Indonesia,6,,73,55,day0
11-02-2024,00,187,Sinergi Bestama Indonesia,938,2001,66,1,day0
11-02-2024,00,187,Sinergi Bestama Indonesia,940,4010,73,4,day0
11-02-2024,00,187,Sinergi Bestama Indonesia,940,5031,73,11,day0
11-02-2024,00,187,Sinergi Bestama Indonesia,941,2001,73,99,day0
11-02-2024,00,187,Sinergi Bestama Indonesia,973,,73,6,day0
