CDR_DATE,CP_NAME,ACCESSFLAG,TOTAL,SUCCESS,REMARK
12-01-2024,8Elements,66,38,37,day0
12-01-2024,Access Mobile,66,395,395,day0
12-01-2024,Akses Cipta Solusi,66,118,89,day0
12-01-2024,Artajasa,66,94,94,day0
12-01-2024,Artha_Ghani_Sempurna,66,1,1,day0
12-01-2024,Braincode,66,5,0,day0
12-01-2024,CP Nine Live,66,1,1,day0
12-01-2024,Celltick_Project,66,128,128,day0
12-01-2024,Codapay,66,44,43,day0
12-01-2024,Digital HUB Accenture,66,223,223,day0
12-01-2024,Emobile,66,838,673,day0
12-01-2024,Era Digital Media,66,97,97,day0
12-01-2024,Falcon,66,1156,1156,day0
12-01-2024,Forest Indo Niaga,66,4,4,day0
12-01-2024,Fortumo,66,11,11,day0
12-01-2024,GENFLIX,66,369,367,day0
12-01-2024,GMS AG (bulk),66,32873,32717,day0
12-01-2024,Galatic Multimedia_oomph,66,3,3,day0
12-01-2024,Global Media Solusi,66,3,3,day0
12-01-2024,Hypermind,66,2,2,day0
12-01-2024,Infinetworks CIMB Niaga,66,497,497,day0
12-01-2024,Jatis Mobile,66,396,395,day0
12-01-2024,KEE_Digital,66,1,1,day0
12-01-2024,KSP UKP4,66,1,1,day0
12-01-2024,Kreasi Media Karya_KMK,66,1,1,day0
12-01-2024,LinkIT_360,66,41,41,day0
12-01-2024,Macrokiosk,66,1,1,day0
12-01-2024,MitraComm Ekasarana,66,206,206,day0
12-01-2024,Monty Mobile (bulk),66,1635,1632,day0
12-01-2024,NetM_GooglePlay,66,3290,3289,day0
12-01-2024,Opera,66,12,12,day0
12-01-2024,PT Festival Digital Nusantara,66,135,135,day0
12-01-2024,PT Metrane,66,3991,3812,day0
12-01-2024,PT Milenial Nusantara Citra,66,46,9,day0
12-01-2024,PT. Aman Devloop Indonesia,66,1,1,day0
12-01-2024,PT. Distribution Oriented Technologies,66,11,11,day0
12-01-2024,PT. Evangeline Verto Indonesia,66,1,0,day0
12-01-2024,PT. Gloria Viva Nusantara,66,12,0,day0
12-01-2024,Redision,66,21,21,day0
12-01-2024,SPRINT_Strata Prima Internusa,66,11675,11675,day0
12-01-2024,SahabatMudaKreatif,66,20,20,day0
12-01-2024,Sinergi Bestama Indonesia,66,8,8,day0
12-01-2024,Telesat_System_Integrator,66,6,6,day0
12-01-2024,Terminal Kreasi Nusantara,66,1,1,day0
12-01-2024,Triple One Global,66,2,2,day0
12-01-2024,Triyakom,66,1349,1349,day0
12-01-2024,Yatta Eracipta Solusi,66,21,21,day0
12-01-2024,ZingMKUows,66,2,0,day0
12-01-2024,,66,35,0,day0
12-01-2024,8Elements,67,2,1,day0
12-01-2024,Access Mobile,67,844,844,day0
12-01-2024,Akses Cipta Solusi,67,135,135,day0
12-01-2024,Artajasa,67,57,57,day0
12-01-2024,BPJS,67,6583,6537,day0
12-01-2024,Celltick_Project,67,13,1,day0
12-01-2024,Codapay,67,3339,3235,day0
12-01-2024,Digital HUB Accenture,67,352,352,day0
12-01-2024,Emobile,67,3190,3176,day0
12-01-2024,Falcon,67,19,19,day0
12-01-2024,Fortumo,67,538,491,day0
