CDRDATE,HOUR,BMO_ATTEMPT,BMT_ATTEMPT,DIG_ATTEMPT,SMO_ATTEMPT,SMT_ATTEMPT,BMO_SUCCESS,BMT_SUCCESS,DIG_SUCCESS,SMO_SUCCESS,SMT_SUCCESS
07-10-2023,0,9878,9960,6568,2662,364499,9853,9878,6568,1342,358269
07-10-2023,1,7148,7527,10372,1948,443625,7070,7501,10372,975,414244
07-10-2023,2,4974,10662,8695,1520,566338,4948,7319,8695,730,488226
07-10-2023,3,4386,4597,7052,1138,878322,4373,4039,7052,559,761727
07-10-2023,4,5632,5011,13885,555,1068377,5623,3564,13885,422,906834
07-10-2023,5,9422,5508,13859,926,1100604,9412,5277,13859,665,941340
07-10-2023,6,11183,8536,14412,1217,1447138,11166,8029,14412,907,1296841
07-10-2023,7,12027,14991,10952,2134,1317582,12001,12154,10952,1612,1169393
07-10-2023,8,12924,25294,12741,6933,1345843,12887,23186,12741,5260,1209024
07-10-2023,9,13712,33710,13258,9383,1248395,13646,32191,13258,7134,1203270
07-10-2023,10,15319,26222,9893,8100,1116691,15265,25692,9893,6312,1069092
07-10-2023,11,16145,23641,9486,9269,1154154,16103,23367,9486,7398,1110865
07-10-2023,12,15963,37330,9252,9877,1101048,15921,36484,9252,7536,1067505
07-10-2023,13,16371,35269,13334,6089,1052578,16305,32943,13334,4688,1009554
07-10-2023,14,16311,24080,12839,4372,1063612,16275,21844,12839,3438,1025777
07-10-2023,15,16287,23236,12198,10377,1286542,16258,21984,12198,8168,1235457
07-10-2023,16,16739,21552,15811,5470,1303382,16396,21024,15811,4160,1228604
07-10-2023,17,19477,24435,16688,14376,1219046,19422,24187,16688,13454,1132217
07-10-2023,18,21593,24109,19037,13454,1335001,21543,21969,19037,11705,1181521
07-10-2023,19,21512,25064,17216,16659,1258898,21466,22568,17216,14119,1083351
07-10-2023,20,20543,23177,18323,2945,1245125,20515,21323,18323,2201,1060217
07-10-2023,21,19970,20213,18124,2703,1067350,19916,19958,18124,2019,886616
07-10-2023,22,1491,1823,1084,252,102726,1453,1817,1084,185,86924
